0,0,187
0,0,113
0,0,212
0,0,234
0,0,254
0,0,156
53,0,0
117,0,0
127,0,0
75,0,0
92,0,0
19,0,156
105,0,0
23,0,156
75,0,254
75,0,156
126,0,254
52,0,254
91,0,187
70,0,254
99,0,254
116,0,254
104,0,234
127,0,11
127,0,3
104,0,212
74,0,254
104,0,254
113,0,0
156,0,0
116,0,234
105,0,254
120,0,254
212,0,0
254,0,0
234,0,0
3,0,254
52,0,113
57,0,254
91,0,254
96,0,254
92,0,254
40,0,254
54,0,254
118,0,254
123,0,254
117,0,254
218,0,156
157,0,234
128,2,250
198,92,156
212,105,0
113,53,0
187,0,0
212,0,152
229,108,123
254,127,0
234,117,0
113,113,0
156,156,0
182,0,212
143,29,237
239,117,113
187,92,0
156,75,0
212,212,0
254,254,0
234,234,0
239,0,113
203,92,187
242,118,80
254,158,0
254,135,0
254,239,0
203,0,187
157,53,234
254,172,0
237,0,113
205,92,179
224,0,141
182,75,212
242,118,78
222,105,156
230,0,121
254,205,0
153,46,235
214,98,159
254,248,0
158,113,0
254,246,0
222,212,0
127,0,1
52,234,113
75,212,156
203,91,187
239,234,0
0,254,0
116,113,234
193,81,191
239,117,106
254,183,0
222,0,156
128,0,250
104,156,212
215,0,158
91,187,187
183,156,0
254,192,0
235,111,81
254,222,0
142,113,0
187,187,0
133,0,156
241,0,88
152,42,231
234,158,0
187,204,0
113,239,0
212,183,0
156,222,0
254,237,0
254,197,0
58,218,123
204,187,0
181,151,0
1,252,2
251,156,0
224,213,0
229,218,0
132,17,0
0,212,0
223,105,0
147,78,0
0,156,0
124,217,113
252,125,7
0,234,0
150,124,212
252,125,6
222,105,0
0,187,0
91,187,186
253,126,2
204,92,0
0,113,0
193,176,113
239,117,0
209,94,0
151,195,118
158,53,0
113,217,0
253,126,0
225,106,0
150,53,0
3,249,9
35,10,0
38,29,0
254,191,0
254,133,0
254,132,0
254,224,0
254,185,0
254,201,0
254,233,0
254,204,0
230,109,120
136,17,241
132,8,245
213,97,159
155,49,234
157,44,220
222,105,152
241,117,91
158,53,233
188,78,196
222,193,0
183,75,0
254,253,1
139,22,239
113,0,254
107,0,254
6,0,254
1,0,254
76,0,254
85,0,254
53,0,254
2,0,0
6,0,29
15,0,0
2,0,9
21,0,21
11,0,0
32,0,29
17,4,0
7,0,0
5,0,0
4,0,0
15,0,17
26,0,26
24,1,0
27,0,28
12,0,36
29,0,0
0,0,24
38,0,0
13,0,0
113,68,68
124,53,113
252,0,6
104,113,212
150,42,235
91,113,187
53,0,212
93,168,190
200,88,187
170,75,113
75,0,212
2,251,3
131,6,246
112,99,227
142,27,0
120,35,242
2,250,5
242,118,75
151,41,0
221,0,156
109,118,221
234,112,115
162,54,0
202,90,187
159,53,0
48,230,104
116,110,234
227,107,0
146,32,0
129,0,248
116,105,235
114,113,232
78,183,161
210,94,0
230,0,122
103,134,210
205,88,0
107,125,217
185,73,0
233,0,117
44,235,96
240,117,0
117,113,0
105,156,0
232,0,118
252,125,0
75,212,0
53,234,0
217,212,0
163,156,0
154,0,235
10,244,28
33,236,75
92,187,0
124,0,113
223,0,149
120,32,243
118,52,239
84,187,174
113,254,0
156,254,0
187,254,0
212,254,0
121,30,243
234,254,0
154,124,200
212,150,113
212,105,156
187,142,156
156,133,187
113,124,212
113,53,234
0,187,187
0,234,113
187,92,187
156,75,212
0,113,234
0,156,212
187,176,113
130,22,239
223,103,0
254,171,0
168,59,0
254,162,0
156,155,0
253,252,2
234,233,1
248,243,30
