775944 254,254,0
771128 127,0,0
466896 126,0,254
460211 254,127,0
369931 254,0,0
270824 0,254,0
230925 0,0,254
23165 117,0,0
23146 234,234,0
14165 212,212,0
13676 105,0,0
11656 234,0,0
10161 0,234,0
9541 0,0,234
7710 239,234,0
7161 158,113,0
6677 212,0,0
5621 234,117,0
5599 0,212,0
5454 0,0,212
5296 116,0,234
4925 187,187,0
4822 222,212,0
4658 92,0,0
4358 52,234,113
4321 116,113,234
4040 183,156,0
3592 52,0,254
3444 116,0,254
3414 234,234,113
3362 113,113,234
3225 104,0,212
2900 212,105,0
2850 113,239,0
2633 239,117,113
2625 53,234,0
2535 157,53,234
2507 104,156,212
2498 239,0,113
2464 204,187,0
2376 234,158,0
2306 157,0,234
2302 187,0,0
2126 234,117,113
2119 156,156,212
2100 117,113,0
2078 113,53,234
2018 75,212,156
1825 212,183,0
1783 212,212,156
1781 104,0,254
1689 239,117,0
1644 0,0,187
1603 254,239,0
1551 156,222,0
1532 254,158,0
1526 75,0,254
1374 0,187,0
1294 182,0,212
1265 212,105,156
1230 158,53,0
1209 156,75,212
1159 182,75,212
1130 91,187,187
1116 222,0,156
1112 222,105,156
1106 91,0,187
1100 75,212,0
1050 105,156,0
1000 187,204,0
 908 113,254,0
 875 254,183,0
 859 187,187,187
 850 91,0,254
 837 187,92,0
 793 187,92,187
 725 222,105,0
 695 203,92,187
 656 183,75,0
 650 92,187,0
 628 234,254,0
 600 212,254,0
 580 254,222,0
 575 117,0,113
 527 53,0,234
 527 0,0,0
 526 156,254,0
 450 203,0,187
 450 0,234,113
 450 0,113,234
 360 156,156,0
 359 204,92,0
 350 92,0,187
 350 75,0,212
 324 75,0,0
 324 156,0,0
 318 254,204,0
 300 0,156,212
 264 105,0,254
 250 1,0,254
 249 53,0,254
 225 217,212,0
 202 187,254,0
 200 253,252,2
 175 105,0,156
 175 104,113,212
 175 0,212,156
 174 254,159,0
 165 212,212,113
 164 254,246,0
 150 92,0,254
 150 241,117,0
 150 117,0,254
 150 104,0,234
 150 0,0,156
 146 0,156,0
 140 123,0,254
 136 118,0,254
 125 70,0,254
 125 254,240,0
 125 254,235,0
 125 110,0,254
 125 0,187,187
 121 254,237,0
 119 254,165,0
 118 254,132,0
 115 127,0,1
 114 77,0,254
 114 54,0,254
 113 254,177,0
 102 43,0,254
 102 107,0,254
 101 254,253,1
 100 91,156,187
 100 53,232,113
 100 52,212,113
 100 3,0,254
 100 254,248,0
 100 254,230,0
 100 253,126,0
 100 251,124,0
 100 234,112,0
 100 223,105,0
 100 2,0,254
 100 198,187,0
 100 150,113,0
 100 125,3,251
 100 125,2,252
 100 120,0,254
 100 116,110,234
 100 0,253,1
  99 1,252,2
  96 254,209,0
  94 91,0,234
  94 254,234,0
  93 2,251,4
  92 61,0,254
  92 254,185,0
  90 254,173,0
  90 124,0,254
  89 84,0,254
  89 122,0,254
  88 254,224,0
  88 254,201,0
  85 254,232,0
  81 254,135,0
  79 242,118,80
  79 237,115,113
  77 56,0,254
  77 232,111,117
  75 79,0,254
  75 75,208,156
  75 75,0,156
  75 74,0,254
  75 53,0,212
  75 52,234,112
  75 52,233,113
  75 52,187,113
  75 52,0,234
  75 52,0,212
  75 4,0,0
  75 34,0,254
  75 254,244,0
  75 254,226,0
  75 254,216,0
  75 254,212,0
  75 254,162,0
  75 254,127,1
  75 253,126,3
  75 253,126,2
  75 252,250,6
  75 250,123,0
  75 246,120,0
  75 242,0,73
  75 240,117,0
  75 239,117,110
  75 236,114,114
  75 234,112,115
  75 230,109,121
  75 230,109,0
  75 219,102,156
  75 217,105,0
  75 205,92,0
  75 2,250,5
  75 193,81,0
  75 176,156,0
  75 170,0,156
  75 168,59,0
  75 164,56,0
  75 162,54,0
  75 161,54,226
  75 159,53,0
  75 159,0,230
  75 155,49,0
  75 142,113,0
  75 139,20,0
  75 129,0,248
  75 128,2,250
  75 128,0,250
  75 124,217,113
  75 113,217,0
  75 109,118,221
  75 107,126,216
  74 254,171,0
  71 254,210,0
  71 233,111,116
  70 254,223,0
  70 254,172,0
  70 127,0,2
  69 254,131,0
  68 219,0,156
  66 15,0,0
  65 217,0,113
  65 106,0,254
  64 78,0,254
  64 254,188,0
  64 244,0,58
  64 210,0,165
  64 146,34,236
  64 12,0,254
  63 254,207,0
  63 254,179,0
  63 103,0,254
  62 97,0,254
  62 254,242,0
  62 254,134,0
  62 253,126,1
  61 68,0,254
  57 254,191,0
  57 214,98,159
  54 193,92,113
  52 60,0,254
  51 92,113,0
  51 254,168,0
  50 94,0,254
  50 91,187,186
  50 91,185,187
  50 91,178,187
  50 89,0,254
  50 88,0,254
  50 87,0,254
  50 86,0,254
  50 84,179,173
  50 81,190,167
  50 8,245,24
  50 78,194,161
  50 76,0,254
  50 75,209,156
  50 75,207,156
  50 75,0,234
  50 75,0,187
  50 74,212,155
  50 73,0,254
  50 72,0,254
  50 70,213,147
  50 66,0,254
  50 63,0,254
  50 59,0,254
  50 53,231,113
  50 50,234,109
  50 47,235,102
  50 40,235,88
  50 40,0,254
  50 4,248,11
  50 3,249,7
  50 254,250,0
  50 254,241,0
  50 254,219,0
  50 254,206,0
  50 254,202,0
  50 254,197,0
  50 254,196,0
  50 254,192,0
  50 254,189,0
  50 254,186,0
  50 254,155,0
  50 254,152,0
  50 254,143,0
  50 254,130,0
  50 253,253,1
  50 252,125,5
  50 252,0,6
  50 250,123,15
  50 248,243,30
  50 245,119,0
  50 243,118,70
  50 242,118,0
  50 242,0,79
  50 241,117,86
  50 240,117,102
  50 239,150,0
  50 239,117,112
  50 239,115,0
  50 237,0,113
  50 236,114,0
  50 236,0,114
  50 235,113,114
  50 234,176,0
  50 233,111,0
  50 231,110,0
  50 231,109,0
  50 230,108,0
  50 229,108,123
  50 229,0,123
  50 228,108,125
  50 226,0,132
  50 224,213,0
  50 224,105,0
  50 224,0,143
  50 222,105,153
  50 220,0,156
  50 219,102,0
  50 218,101,0
  50 214,0,159
  50 210,94,0
  50 209,94,167
  50 209,94,0
  50 208,93,169
  50 207,93,173
  50 202,90,187
  50 200,88,187
  50 2,250,7
  50 198,0,156
  50 197,85,188
  50 193,187,156
  50 192,0,192
  50 190,78,0
  50 189,78,196
  50 187,187,113
  50 187,0,199
  50 186,76,0
  50 174,65,0
  50 170,75,156
  50 170,75,0
  50 170,61,216
  50 169,0,216
  50 167,59,218
  50 166,0,219
  50 162,54,225
  50 162,0,224
  50 161,54,0
  50 160,54,229
  50 160,114,0
  50 159,53,230
  50 158,0,232
  50 156,75,187
  50 154,0,235
  50 153,46,235
  50 153,0,235
  50 151,41,0
  50 150,124,212
  50 148,37,0
  50 143,29,237
  50 141,0,238
  50 14,242,35
  50 137,19,240
  50 136,16,241
  50 135,12,0
  50 134,10,0
  50 133,9,244
  50 133,0,156
  50 131,4,0
  50 130,4,0
  50 129,2,0
  50 128,1,0
  50 127,1,252
  50 127,0,9
  50 127,0,4
  50 127,0,3
  50 125,1,253
  50 124,5,250
  50 124,113,212
  50 123,11,248
  50 121,0,254
  50 120,35,242
  50 120,32,243
  50 119,46,240
  50 119,0,254
  50 117,72,236
  50 116,91,235
  50 115,113,233
  50 115,0,254
  50 113,124,212
  50 113,113,212
  50 113,0,254
  50 109,119,221
  50 108,0,254
  50 107,125,217
  50 105,154,1
  50 105,146,213
  50 105,141,213
  50 105,138,213
  50 103,122,209
  50 102,156,208
  50 102,0,254
  50 101,156,205
  50 100,0,254
  50 10,244,28
  50 1,253,1
  50 1,251,3
  50 1,0,234
  50 0,212,113
  50 0,113,187
  49 254,195,0
  49 248,121,32
  49 183,0,210
  49 113,0,0
  48 243,118,71
